Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito;Títulos e Valores Mobiliários;Passivo Exigível;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento
ASTRO INSTITUICAO DE PAGAMENTO LTDA.;34006497;n4;NA;I;3;SAO PAULO;SP;dez/25;127.738;0;94.241;119.835;92.059;7.903;-11.172;1;0
EAGLE INSTITUICAO DE PAGAMENTO LTDA.;11414839;n4;S5;C;2;PORTO ALEGRE;RS;dez/25;124.662;0;112.518;9.476;0;115.186;31.377;1;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DA JUSTIÇA DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CREDJUS;4894460;b3S;S5;I;2;BELO HORIZONTE;MG;dez/25;124.307;52.098;3.778;68.309;62.283;55.998;3.351;0;2
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MAGISTRADOS DE SÃO PAULO - MAGISCRED;51489318;b3S;S5;I;2;SAO PAULO;SP;dez/25;123.522;18.861;101.773;103.799;102.486;19.722;884;0;0
COOPERATIVA DE CRÉDITO MÚTUO DOS PROFISSIONAIS DA SAÚDE E LIVRE ADMISSÃO DE TEÓFILO OTONI LTDA. - UNICRED TRÊS VALES;1709266;b3S;S5;I;2;TEOFILO OTONI;MG;dez/25;123.093;67.459;3.660;107.169;93.570;15.924;1.533;0;0
NG CASH INSTITUIÇÃO DE PAGAMENTO LTDA.;40710595;n4;S5;C;3;SAO PAULO;SP;dez/25;122.206;0;105.753;47.628;19.910;74.578;-4.134;1;0
COOPERATIVA DE CRÉDITO, POUPANÇA E SERVIÇOS FINANCEIROS DE AGRICULTORES E AEROPORTUÁRIOS DO BRASIL - CREHNOR;1330387;b3S;S5;I;2;LARANJEIRAS DO SUL;PR;dez/25;120.175;23.298;5.977;108.325;105.872;11.850;1.554;0;3
COOPERATIVA DE CRÉDITO E ECONOMIA COM INTERAÇÃO SOLIDÁRIA - CRESOL COOPERACRED;9488496;b3S;S5;I;2;SAO JOAO DO SUL;SC;dez/25;118.801;89.690;3.252;103.617;65.775;15.184;663;0;4
SITA SOCIEDADE CORRETORA DE CAMBIO E VALORES MOBILIARIOS S.A;17315359;n2;S4;I;2;BELO HORIZONTE;MG;dez/25;117.945;0;73.645;69.414;0;48.531;4.452;2;0
CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;34829992;n2;S4;C;2;SAO PAULO;SP;dez/25;117.794;0;64;103.062;94.533;14.732;-4.202;2;0
