Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito;Títulos e Valores Mobiliários;Passivo Exigível;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO BRASIL CENTRAL LTDA. - SICOOB EXECUTIVO;694877;b3S;S5;I;2;BRASILIA;DF;dez/25;255.123;137.466;23.202;205.038;199.353;50.085;4.841;0;8
COOPERATIVA DE CRÉDITO E ECONOMIA COM INTERAÇÃO SOLIDÁRIA - CRESOL XANXERÊ;7509426;b3S;S5;I;2;XANXERE;SC;dez/25;255.055;174.346;7.141;230.042;149.903;25.013;1.615;0;5
COOPERATIVA DE CREDITO CLASSICA DO ESTADO DO RIO DE JANEIRO - SICOOB EMPRESAS RJ;4120633;b3S;S5;I;2;RIO DE JANEIRO;RJ;dez/25;253.690;82.934;9.722;204.262;196.357;49.428;1.238;0;7
ROADCARD INSTITUICAO DE PAGAMENTO INTEGRADO DA LOGISTICA S.A.;12815827;n4;NA;I;2;SAO PAULO;SP;dez/25;250.520;0;2.027;202.073;132.263;48.446;15.688;1;0
COOPERATIVA DE CRÉDITO CREDIESMERALDAS LTDA. - SICOOB CREDIESMERALDAS;68512748;b3S;S5;I;2;ESMERALDAS;MG;dez/25;248.764;87.093;3.867;223.540;214.899;25.224;1.851;0;14
COOPERATIVA DE CREDITO CREDLIDER - SICOOB CREDLIDER;5463934;b3S;S5;I;2;VOTUPORANGA;SP;dez/25;248.372;43.177;8.047;204.345;187.688;44.027;4.980;0;3
RPW S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;6249129;n1;S4;I;2;SAO PAULO;SP;dez/25;246.970;189.598;9.477;212.368;199.450;34.602;14.718;2;0
COOPERATIVA DE CRÉDITO - SICOOB CREDUNI;3428338;b3S;S5;I;2;CAMPINA GRANDE;PB;dez/25;246.969;170.367;7.247;190.304;176.323;56.666;869;0;10
COOPERATIVA DE CREDITO POTIGUAR - SICOOB POTIGUAR;2382755;b3S;S5;I;2;NATAL;RN;dez/25;246.796;133.588;14.518;213.113;201.530;33.683;1.836;0;5
ACG INSTITUIÇÃO DE PAGAMENTO S.A.;10868663;n4;NA;I;2;SAO PAULO;SP;dez/25;245.788;75.720;161.020;217.631;37.309;28.157;5.787;1;0
CREDISIS CAPITALCREDI - COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO ACRE LTDA;5439425;b3S;S5;I;2;RIO BRANCO;AC;dez/25;244.039;68.187;12.021;199.910;187.638;44.129;3.416;0;2
COOPERATIVA DE CRÉDITO SICOOB COOPEMAR LTDA;4174720;b3S;S5;I;2;MAIRI;BA;dez/25;242.262;85.227;21.716;208.305;201.896;33.956;3.409;0;10
COOPERATIVA DE CRÉDITO SICOOB ITAPAGIPE LTDA - SICOOB ITAPAGIPE;71506513;b3S;S5;I;2;ITAPAGIPE;MG;dez/25;241.320;112.028;7.094;188.640;127.400;52.680;5.270;0;0
CREDIALIANÇA COOPERATIVA DE CRÉDITO RURAL;78157146;b3S;S5;I;2;ROLANDIA;PR;dez/25;241.303;128.621;96.844;257.965;248.408;-16.663;-3.044;0;13
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DA FEDERAÇÃO DO COMÉRCIO, SESC E SENAC DE SÃO PAULO;62928320;b3S;S5;I;2;SAO PAULO;SP;dez/25;239.109;174.929;63.777;25.258;0;213.851;19.383;0;0
COOPERATIVA DE CRÉDITO DOS INTEGRANTES DO MINISTÉRIO PÚBLICO E DO PODER JUDICIÁRIO NOS ESTADOS DO AMAPÁ E CEARÁ E LIVRE ADMISSÃO NO ESTADO DO PARÁ - SICOOB COIMPPA;84156470;b3S;S5;I;2;BELEM;PA;dez/25;238.463;103.219;11.887;154.373;144.611;84.090;5.635;0;0
VOX INSTITUICAO DE PAGAMENTO S.A.;7314204;n4;NA;I;2;ITAQUAQUECETUBA;SP;dez/25;235.763;93.145;73.239;223.588;43.108;12.175;3.665;1;0
COOPERATIVA DE CRÉDITO VALE DO CANOAS - SICOOB/SC CREDICANOAS;707903;b3S;S5;I;2;ABDON BATISTA;SC;dez/25;232.012;137.136;5.401;188.643;149.529;43.369;2.076;0;5
CONTAAZUL INSTITUICAO DE PAGAMENTO LTDA.;47381104;n4;NA;I;3;JOINVILLE;SC;dez/25;232.009;0;3.921;222.218;207.342;9.791;2.468;1;0
TULLETT PREBON BRASIL;52027;n2;S4;C;3;SAO PAULO;SP;dez/25;229.326;0;110.416;102.919;1.423;126.407;9.939;7;0
SICOOB CREDIMONTES - COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO REGIONAL DE MONTES CLAROS LTDA;2031139;b3S;S5;I;2;MONTES CLAROS;MG;dez/25;229.131;60.737;3.464;193.019;183.791;36.112;2.912;0;4
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA MARGEM ESQUERDA DO URUCUIA E SÃO FRANCISCO LTDA - SICOOB CREDICHAPADA;14046512;b3S;S5;I;2;CHAPADA GAUCHA;MG;dez/25;227.602;164.861;4.329;185.132;99.003;42.470;672;0;6
CREDISIS SUDOESTE/RO - COOPERATIVA DE CRÉDITO E INVESTIMENTO DO SUDOESTE DE RONDÔNIA;3985375;b3S;S5;I;2;ROLIM DE MOURA;RO;dez/25;225.931;138.900;9.622;190.915;165.951;35.016;2.064;0;5
MONTE BRAVO CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;50489148;n2;S4;C;2;SAO PAULO;SP;dez/25;222.799;0;130.849;127.004;0;95.795;-1.393;2;8
MAGALUPAY - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;61021673;n1;S5;C;2;BARUERI;SP;dez/25;222.684;40.460;176.272;22.131;105;200.553;553;2;0
COOPERATIVA DE CRÉDITO DA REGIÃO DO VALE DO RIO GRANDE LTDA. - SICOOB CREDILEITE;86585049;b3S;S5;I;2;UBERABA;MG;dez/25;220.886;121.038;3.107;194.989;180.554;25.897;2.687;0;4
BEES INSTITUICAO DE PAGAMENTO LTDA.;35523352;n4;NA;I;3;SAO PAULO;SP;dez/25;220.128;0;80.290;161.114;157.537;59.014;11.185;1;0
ONEKEY PAYMENTS INSTITUICAO DE PAGAMENTO SA;35210410;n4;NA;I;3;BARUERI;SP;dez/25;219.059;0;453;202.286;197.245;16.773;8.513;1;0
COOPERATIVA DE CREDITO E ECONOMIA COM INTERAÇÃO SOLIDÁRIA - CRESOL SERRA MAR;7958405;b3S;S5;I;2;RIO FORTUNA;SC;dez/25;218.876;156.865;4.762;190.233;130.355;28.643;2.470;0;5
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE GUAXUPÉ LTDA. - SICOOB ACICREDI;1699652;b3S;S5;I;2;GUAXUPE;MG;dez/25;217.905;99.549;3.714;179.434;173.798;38.470;6.928;0;4
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS INTEGRANTES DA MAGISTRATURA E DO MINISTÉRIO PÚBLICO NO ESTADO DO PARANÁ - SICREDI CREDJURIS;4886317;b3S;S4;I;2;CURITIBA;PR;dez/25;216.680;44.058;105.725;190.763;175.969;25.917;2.107;0;2
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DE LIVRE ADMISSÃO DE ARARAQUARA E REGIÃO - SICOOB;53236808;b3S;S5;I;2;ARARAQUARA;SP;dez/25;216.314;63.511;126.184;193.608;186.197;22.705;933;0;4
Z-ON SOCIEDADE DE CRÉDITO DIRETO S.A.;52586293;n1;S5;I;2;CURITIBA;PR;dez/25;216.219;318;208.590;204.149;200.752;12.069;964;2;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE CERES E RIALMA LTDA;9576849;b3S;S5;I;2;CERES;GO;dez/25;215.422;58.289;11.836;180.727;155.192;34.694;2.814;0;5
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO BRMIL LTDA. - SICOOB BRMIL;4649337;b3S;S5;I;2;BRASILIA;DF;dez/25;215.076;98.907;16.345;178.346;173.756;36.730;4.922;0;1
ALESTA SOCIEDADE DE CREDITO DIRETO S.A.;38316293;n1;S5;I;3;CAMPINAS;SP;dez/25;213.410;156.231;0;13.945;0;199.465;38.914;2;0
CALCRED S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;37122487;n1;S4;C;2;PALHOCA;SC;dez/25;213.041;81.562;20.956;175.138;156.559;37.903;2.506;2;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE SÃO SEBASTIÃO DO PARAÍSO LTDA. - SICOOB PARAÍSOCRED;1657678;b3S;S5;I;2;SAO SEBASTIAO DO PARAISO;MG;dez/25;212.545;107.586;4.484;185.173;178.177;27.372;924;0;6
FIDÚCIA SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LIMITADA.;4307598;n1;S5;I;2;SOROCABA;SP;dez/25;210.587;1.834;65;197.204;183.746;13.383;3.152;2;0
REVOLUT SOCIEDADE DE CRÉDITO DIRETO S.A.;51342763;n1;S5;I;3;SAO PAULO;SP;dez/25;207.264;709;68.256;101.403;69.315;105.860;4.079;2;0
SRM BANK INSTITUIÇÃO DE PAGAMENTO S/A;22575466;n4;S4;C;2;SAO PAULO;SP;dez/25;206.161;0;10.260;197.745;177.368;8.416;2.851;1;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CREDIEMBRAPA LTDA - SICOOB.;2338666;b3S;S5;I;2;BRASILIA;DF;dez/25;202.990;116.040;34.196;138.966;133.168;64.023;5.033;0;2
BRINKS PAY INSTITUICAO DE PAGAMENTO LTDA;9437293;n4;NA;I;3;SAO PAULO;SP;dez/25;200.747;0;0;111.432;57.317;89.314;5.900;1;0
COOPERATIVA DE CREDITO E ECONOMIA COM INTERAÇÃO SOLIDARIA - CRESOL LITORAL;5410056;b3S;S5;I;2;JAGUARUNA;SC;dez/25;195.934;136.672;4.999;177.214;124.138;18.720;-70;0;7
COOPERATIVA DE CRÉDITO CREDICAPI LTDA - SICOOB CREDICAPI;804046;b3S;S5;I;2;CAPITOLIO;MG;dez/25;195.152;108.217;3.299;162.188;135.800;32.964;1.718;0;0
COOPERATIVA DE CRÉDITO LIVRE ADMISSÃO SICOOB OURICRED;2179673;b3S;S5;I;2;OURINHOS;SP;dez/25;194.335;74.762;112.342;164.237;161.130;30.098;3.216;0;4
SERVNET INSTITUIÇÃO DE PAGAMENTO LTDA.;29759316;n4;NA;I;2;UBERLANDIA;MG;dez/25;191.693;23.235;3.539;180.941;9.942;10.752;496;1;0
MERCADO BITCOIN INSTITUICAO DE PAGAMENTO LTDA;11351086;n4;NA;I;2;SAO PAULO;SP;dez/25;191.319;0;2.803;171.969;155.984;19.350;-2.507;1;0
SINOSSERRA FINANCEIRA S/A - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;22639377;n1;S4;C;2;NOVO HAMBURGO;RS;dez/25;190.811;169.762;13.158;166.276;153.824;24.536;1.335;2;0
COOPERATIVA DE CREDITO RURAL SEARA - CREDISEARA;204963;b3S;S5;I;2;SEARA;SC;dez/25;190.201;108.345;55.702;164.856;161.192;25.345;-3.695;0;5
COOPERATIVA DE CRÉDITO SICOOB UNI SUL MS;37554441;b3S;S5;I;2;DOURADOS;MS;dez/25;190.075;82.721;2.329;147.931;134.372;42.144;-1.935;0;5
BANCO DE LA PROVINCIA DE BUENOS AIRES;44189447;b1;S4;I;3;SAO PAULO;SP;dez/25;188.952;39.723;45.212;42.568;40.563;146.384;5.563;2;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS PROFESSORES, FUNCIONÁRIOS E ALUNOS DA UNIVERSIDADE DE CAXIAS DO SUL - SICREDI EDUCAÇÃO RS;4525997;b3S;S4;I;2;CAXIAS DO SUL;RS;dez/25;188.636;102.593;48.038;163.543;148.180;25.092;3.653;0;1
POMELO INSTITUICAO DE PAGAMENTO LTDA.;44128548;n4;NA;I;3;SAO PAULO;SP;dez/25;184.536;46.522;100.917;163.506;0;21.030;-1.631;1;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO OESTE MARANHENSE - SICOOB OESTE MARANHENSE;9424988;b3S;S5;I;2;ACAILANDIA;MA;dez/25;178.139;116.691;13.233;141.533;131.358;36.605;3.923;0;10
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB CRUZ ALTA;73326449;b3S;S5;I;2;CRUZ ALTA;RS;dez/25;177.783;111.918;15.840;157.944;152.005;19.839;4.255;0;6
COOPERATIVA DE CRÉDITO DE RIO RUFINO - SICOOB CREDIUNIÃO;2448839;b3S;S5;I;2;RIO RUFINO;SC;dez/25;173.028;115.170;31.349;148.176;112.606;24.852;1.500;0;3
COOPER CARD INSTITUIÇÃO DE PAGAMENTO LTDA.;5938780;n4;NA;C;2;BARUERI;SP;dez/25;171.834;118.268;6.376;142.641;803;29.194;-1.461;1;0
AGÊNCIA DE FOMENTO E DESENVOLVIMENTO DO ESTADO DO PIAUÍ S.A.;11836226;n1;S4;I;1;TERESINA;PI;dez/25;171.743;116.812;43.509;78.692;71.175;93.051;2.697;1;0
CREDISIS CREDIBRÁS COOPERATIVA DE CRÉDITO E INVESTIMENTO DE LIVRE ADMISSÃO DO OESTE DE RONDÔNIA;5597773;b3S;S5;I;2;NOVA BRASILANDIA;RO;dez/25;171.364;108.660;8.030;131.894;115.200;39.471;3.624;0;3
CACTVS INSTITUICAO DE PAGAMENTO S.A;39696395;n4;NA;I;2;SAO PAULO;SP;dez/25;169.444;0;145.525;143.148;112.136;26.295;9.496;1;0
COOPERATIVA DE CRÉDITO RURAL DOS FORNECEDORES DE CANA DA REGIÃO DE CATANDUVA-COFOCRED;49654502;b3S;S5;I;2;CATANDUVA;SP;dez/25;166.694;62.648;101.291;13.029;0;153.665;11.447;0;0
GPATIVA - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DO GRUPO PÃO DE AÇÚCAR;46277273;b3S;S5;I;2;SAO PAULO;SP;dez/25;165.827;43.337;12;64.953;0;100.874;10.325;0;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MILITARES ESTADUAIS DE SANTA CATARINA - CREDPOM;4572960;b3S;S5;I;2;FLORIANOPOLIS;SC;dez/25;164.982;81.202;1.903;149.928;147.820;15.054;750;0;6
COOPERATIVA DE CRÉDITO SICOOB IPÊ - SICOOB IPÊ;24610065;b3S;S5;I;2;CAMPO GRANDE;MS;dez/25;164.981;117.866;2.991;143.009;138.772;21.973;2.167;0;3
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO ESTADO DO PARÁ - SICOOB COOESA;83836114;b3S;S5;I;2;BELEM;PA;dez/25;164.289;102.844;3.892;141.236;137.155;23.053;1.132;0;4
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SICOOB UNIÃO SUDESTE;7946216;b3S;S5;I;2;SANTO ANDRE;SP;dez/25;162.896;65.580;82.300;149.876;147.731;13.021;-225;0;8
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DE DORES DO INDAIÁ LTDA - SICOOB COOPCREDI;2254376;b3S;S5;I;2;DORES DO INDAIA;MG;dez/25;162.343;46.190;3.143;137.817;135.470;24.526;2.002;0;1
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS TRABALHADORES DO GRUPO SÃO MARTINHO   USICRED;2562412;b3S;S5;I;2;PRADOPOLIS;SP;dez/25;159.854;117.197;38.052;8.721;2.170;151.133;11.111;0;0
PLANTAE S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;35551187;n1;S4;I;2;PRESIDENTE PRUDENTE;SP;dez/25;157.558;130.297;6.497;131.779;129.812;25.779;-389;2;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO SICOOB METALCRED;4833655;b3S;S5;I;2;SAO PAULO;SP;dez/25;156.243;103.484;35.457;117.068;111.245;39.174;603;0;6
COOPERATIVA DE CRÉDITO CREDIMAC LTDA - SICOOB CREDIMAC;64480833;b3S;S5;I;2;MARTINHO CAMPOS;MG;dez/25;156.155;64.100;4.079;126.321;112.565;29.834;467;0;1
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO E BENEFÍCIOS SOCIAIS BECOOPER;45691128;b3S;S5;I;2;SAO JOSE DOS CAMPOS;SP;dez/25;156.057;91.731;48.855;11.802;0;144.255;7.100;0;0
COOPERATIVA DE CRÉDITO MÚTUO DO CEARÁ - SICOOB CEARÁ;3620772;b3S;S5;I;2;FORTALEZA;CE;dez/25;151.245;116.205;7.878;129.731;125.883;21.514;1.916;0;3
COOPERATIVA DE CRÉDITO NO PIAUÍ - SICOOB PIAUÍ;5477038;b3S;S5;I;2;TERESINA;PI;dez/25;150.666;81.000;9.328;127.039;120.541;23.627;2.371;0;6
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE VITÓRIA DA CONQUISTA;2833202;b3S;S5;I;2;VITORIA DA CONQUISTA;BA;dez/25;149.780;109.676;4.707;128.842;95.952;20.937;1.668;0;3
COOPERATIVA DE CRÉDITO SICOOB CREDCOOP LTDA.;2528151;b3S;S5;I;2;VITORIA DA CONQUISTA;BA;dez/25;148.423;101.486;11.985;113.928;110.095;34.495;2.265;0;5
RENDIMENTOPAY INSTITUIÇÃO DE PAGAMENTO S.A.;13776742;n4;S4;C;2;SAO PAULO;SP;dez/25;147.903;17.343;94.240;132.745;69.972;15.158;2.494;1;0
COOPERATIVA DE CRÉDITO E INVESTIMENTOS DE RONDÔNIA - SICOOB CREDJURD;4751713;b3S;S5;I;2;PORTO VELHO;RO;dez/25;147.843;80.223;8.833;107.715;105.431;40.129;2.238;0;4
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CIRCUITO DAS ÁGUAS - SICOOB CIRCUITO DAS ÁGUAS;3941182;b3S;S5;I;2;AGUAS DE LINDOIA;SP;dez/25;146.423;66.766;20.927;131.450;120.719;14.973;4.093;0;5
PAY4FUN INSTITUICAO DE PAGAMENTO S.A.;20757199;n4;NA;I;2;SAO PAULO;SP;dez/25;143.754;0;37.637;103.326;92.375;40.427;105;1;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DE LIVRE ADMISSÃO DOS SERVIDORES DA UNIVERSIDADE FEDERAL DE VIÇOSA LTDA. - SICOOB UFVCREDI;2794761;b3S;S5;I;2;VICOSA;MG;dez/25;142.803;51.888;4.550;103.933;101.345;38.871;1.984;0;2
COOPERATIVA DE CRÉDITO MÚTUO DOS CORRETORES DE SEGUROS DO ESTADO DE SÃO PAULO - SICOOB CREDICOR/SP;8030602;b3S;S5;I;2;SAO PAULO;SP;dez/25;141.528;4.437;135.201;124.352;123.092;17.175;2.619;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS MILITARES ESTADUAIS E SERVIDORES DA SEGURANÇA DO ESTADO DO RIO GRANDE DO SUL - SICREDI TRADIÇÃO RS;3212823;b3S;S4;I;2;PORTO ALEGRE;RS;dez/25;140.469;68.936;36.442;119.889;105.409;20.580;1.460;0;2
COOPERATIVA DE CREDITO E ECONOMIA COM INTERAÇÃO SOLIDÁRIA - CRESOL JACINTO MACHADO;9463721;b3S;S5;I;2;JACINTO MACHADO;SC;dez/25;139.809;87.920;4.349;123.304;77.592;16.505;559;0;4
PAGCERTO INSTITUICAO DE PAGAMENTO LTDA.;17819084;n4;NA;I;3;ARACAJU;SE;dez/25;139.173;0;52.231;119.177;117.612;19.996;4.548;1;0
COOPERATIVA DE CRÉDITO DOS EMPREGADOS DO GRUPO VALLOUREC NO BRASIL - COOVALL LTDA.;64293582;b3S;S5;I;2;BELO HORIZONTE;MG;dez/25;138.774;110.317;19.050;17.034;0;121.740;8.922;0;1
BIZ INSTITUIÇÃO DE PAGAMENTO S.A.;12481100;n4;S4;C;2;SAO PAULO;SP;dez/25;138.440;0;0;131.039;99.930;7.401;117;1;0
COOPERATIVA DE ECONOMIA E CRÉDITO DE LIVRE ADMISSÃO DOS EMPREGADOS DOS CORREIOS LTDA. - SICOOB COOPERCORREIOS;3862898;b3S;S5;I;2;BELO HORIZONTE;MG;dez/25;137.844;58.911;4.851;99.883;96.936;37.961;1.093;0;2
COOPERATIVA DE CRÉDITO CREDINOSSO LTDA - SICOOB CREDINOSSO;6324872;b3S;S5;I;2;MONTES CLAROS;MG;dez/25;137.753;59.273;2.462;122.021;118.647;15.731;667;0;3
COOPERATIVA DE CREDITO E ECONOMIA COM INTERAÇÃO SOLIDÁRIA - CRESOL TREZE DE MAIO;9330158;b3S;S5;I;2;TREZE DE MAIO;SC;dez/25;136.625;84.785;3.639;122.765;91.175;13.860;540;0;3
BECKER FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;20443996;n1;S4;C;2;CERRO LARGO;RS;dez/25;135.591;120.722;5.754;105.189;17.132;30.402;9.402;2;0
COOPERFEMSA - COOPERATIVA DE CRÉDITO;43488782;b3S;S5;I;2;SAO PAULO;SP;dez/25;134.841;86.517;41.539;8.409;0;126.432;10.658;0;0
GOOGLE PAY BRASIL INSTITUICAO DE PAGAMENTO LTDA.;43394419;n4;NA;I;3;SAO PAULO;SP;dez/25;134.057;0;123.898;9.089;0;124.968;5.908;1;0
COOPERATIVA DE CRÉDITO UNIPRIME CREDICANA;44373041;b3S;S5;I;2;ASSIS;SP;dez/25;134.043;40.898;3.416;111.159;106.468;22.884;1.977;0;1
BELLUNO INSTITUICAO DE PAGAMENTO LTDA;25238191;n4;NA;I;2;JARAGUA DO SUL;SC;dez/25;132.923;0;4.109;126.596;13.092;6.327;630;1;0
GREENCRED - COOPERATIVA DE CREDITO;2347114;b3S;S5;I;2;CURITIBA;PR;dez/25;131.483;42.230;61.063;101.842;99.023;29.642;2.093;0;3
COOPERATIVA DE CRÉDITO MÚTUO DOS DESPACHANTES DE TRÂNSITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CREDITRAN;4715685;b3S;S5;I;2;FLORIANOPOLIS;SC;dez/25;130.637;40.106;7.171;93.219;82.557;37.417;4.404;0;2
SOLVER INSTITUICAO DE PAGAMENTO LTDA;47377613;n4;NA;I;2;BARUERI;SP;dez/25;130.109;0;1.094;113.738;1.347;16.371;-428;1;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO - SICOOB COPESITA;19875244;b3S;S5;I;2;TIMOTEO;MG;dez/25;130.069;52.854;6.778;95.778;91.149;34.290;-159;0;3
CM CAPITAL MARKETS CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS LTDA;2685483;n2;S4;I;3;SAO PAULO;SP;dez/25;129.586;0;62.836;102.977;47.143;26.609;-11.516;2;0
COOPERATIVA DE CRÉDITO MÚTUO DOS EMPREGADOS DA MAXION - CREDMAXION;58290800;b3S;S5;I;2;CRUZEIRO;SP;dez/25;129.453;84.248;44.684;3.258;0;126.195;8.650;0;1
COOPERATIVA DE CRÉDITO RURAL E ECONOMIA COM INTERAÇÃO SOLIDÁRIA DE ÁUREA - CRESOL ÁUREA;2904138;b3S;S5;I;2;AUREA;RS;dez/25;128.377;97.440;3.673;111.812;59.652;16.566;-93;0;4
