Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito;Títulos e Valores Mobiliários;Passivo Exigível;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ;80230774;b3C;S4;I;2;CURITIBA;PR;06/2025;7.980.550;0;2.887.354;6.135.819;9.294;1.844.731;0;0;0
CENTRAL SICOOB UNI DE COOPERATIVAS DE CRÉDITO;4243780;b3C;S4;I;2;GOIANIA;GO;06/2025;7.938.454;81.441;1.771.127;7.602.754;0;335.700;32.227;0;0
ALELO INSTITUICAO DE PAGAMENTO SA;4740876;n4;;C;2;BARUERI;SP;06/2025;7.865.239;829.190;3.148.208;6.739.605;5.892.764;1.125.634;256.421;1;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO DE ESTADOS RIO GRANDE DO SUL, SANTA CATARINA E MINAS GERAIS - SICREDI UNIESTADOS;87780268;b3S;S4;I;2;ERECHIM;RS;06/2025;7.764.077;4.515.306;2.460.979;6.906.139;4.641.119;857.938;24.853;0;71
COOPERATIVA DE CRÉDITO E INVESTIMENTO DO SUDOESTE  DA AMAZÔNIA LTDA - SICOOB CREDISUL;3632872;b3S;S5;I;2;VILHENA;RO;06/2025;7.652.613;5.405.748;84.683;6.382.362;5.034.178;1.270.250;39.763;0;47
BANCO BS2 S.A.;71027866;b1;S3;C;2;BELO HORIZONTE;MG;06/2025;7.634.605;2.418.820;1.622.940;6.767.322;6.082.149;867.283;10.558;3;0
INDUSTRIAL DO BRASIL;50988;b1;S4;C;2;SAO PAULO;SP;06/2025;7.605.194;5.668.305;282.326;6.927.057;6.194.383;678.138;-35.185;12;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO PLANALTO - SICREDI PLANALTO RS/MG;88038260;b3S;S4;I;2;CRUZ ALTA;RS;06/2025;6.864.038;5.010.967;1.054.694;5.504.830;2.302.258;1.359.209;114.242;0;39
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SORRISO - SICREDI CELEIRO MT/RR;26555235;b3S;S4;I;2;SORRISO;MT;06/2025;6.847.472;2.878.308;2.973.871;5.720.782;4.032.585;1.126.689;48.467;0;23
OMNI;50940;b1;S4;C;2;SAO PAULO;SP;06/2025;6.782.897;3.406.228;1.573.488;5.898.575;5.524.559;884.322;-47.968;8;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SÃO MIGUEL DO OESTE - SICOOB SÃO MIGUEL SC/PR/RS;81607046;b3S;S5;I;2;SAO MIGUEL D'OESTE;SC;06/2025;6.488.623;3.926.371;100.651;5.776.127;4.754.861;712.495;86.697;0;65
NEON;52285;n1;S4;C;2;SAO PAULO;SP;06/2025;6.428.834;2.738.551;1.925.456;5.541.927;5.318.238;886.907;-10.979;4;0
COOPERATIVA DE CRÉDITO SUL-SERRANA DO ESPÍRITO SANTO;815319;b3S;S5;I;2;VENDA NOVA DO IMIGRANTE;ES;06/2025;6.411.603;4.051.617;467.312;5.318.397;4.727.849;1.093.206;100.206;0;42
REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;27351731;n1;S4;I;3;PORTO ALEGRE;RS;06/2025;6.387.992;5.071.685;324.239;5.178.895;1.218.807;1.209.097;103.370;2;0
CENTRAL DAS COOPERATIVAS DE CREDITO UNICOOB - SICOOB CENTRAL UNICOOB;5036532;b3C;S4;I;2;MARINGA;PR;06/2025;6.211.180;4.983;3.516.904;5.827.546;7.069;383.634;32.723;0;0
COOPERATIVA CENTRAL DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA - CENTRAL CRESOL SICOPER;21198087;b3C;S4;I;2;PASSO FUNDO;RS;06/2025;6.165.032;5.856;1.087.920;5.946.549;3.532.943;218.483;58;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DA REGIÃO DOS VALES - SICREDI REGIÃO DOS VALES RS;89126130;b3S;S4;I;2;ENCANTADO;RS;06/2025;6.077.983;1.733.179;3.722.031;4.810.941;4.195.342;1.267.043;118.879;0;21
